ID,Chinese,English,Context,Source,Notes
netease_mpay__bind_tip,为了快速游戏数据安全，请绑定一个帐号。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__can_not_use_on_ios,受政策限制不能在iOS应用中使用,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__cancel,取消,Cancel,Button,resources.arsc,Extracted from APK resources
netease_mpay__change_password,修改密码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__channel_disabled,暂不可用,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__choose_cbg_login_account,请选择要登录藏宝阁的帐号,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__click_to_select,点击选择,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__close,关闭,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__confirm,确认,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__confirm_bind,绑定本机号码,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__confirm_delete,确认删除,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__confirm_deposit,确认充值,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__confirm_login,本机号码登录,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__confirm_mobile_login,确认登录手机帐号,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__confirm_on_mobile,请在手机点击确认以登录,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__confirm_pay,确认支付,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__confirm_urs_password,为保证安全，请输入您的邮箱密码。,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__continue,继续,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__continue_deposit,继续充值,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__continue_pay,继续支付,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__copy_clipboard,拷贝到剪切板,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__copy_clipboard_done,检测结果已复制！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__delete_account,删除记录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__delete_finish,完成,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__delete_guest_photo_confirm,快速游戏帐号状态已更新，原帐号凭证图片已失效，是否删除？,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__deposit_result_page_title,订单充值结果,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__deposit_success,充值成功,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__deposit_title,充值金额：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__dev_invalid_login_type,不支持该帐号类型,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__dev_target_urs_pid_empty,urs产品号不能为空,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__ecard_balance_template,%1$s点,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__ecard_balance_tip,点数余额：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__ecard_need_balance_template,(所需点数：%1$s点),,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__ecard_pay,网易一卡通支付,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__ecard_pay_tips,可使用网易充值一卡通实体卡或虚拟卡密充值。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__enter_problem,遇到问题,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__err_cbg_login_no_user,登录信息出错,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__err_login_data_not_exist,登录信息不存在！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__err_login_expired_and_login_again,登录已失效，请重新登录。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__err_login_expired_and_login_by_mobile,登录已失效，请使用绑定的手机号登录。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__err_no_login,用户尚未登录。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__exchange_rate,（1元=10点）,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__fetch_in_progress,获取中...,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__fetch_qrcode_fail,没有获取到二维码信息，重试？,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__friendly_tip,温馨提示,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__function_not_available,维护中,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__game,游戏,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__go_download,去下载,,OBB Downloader,resources.arsc,Extracted from APK resources
netease_mpay__goto_prepay,去充值,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__goto_setting,去设置,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__help,帮助,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__hide_pay_channels,收起支付方式,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__hours_before,%1$s小时前,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__i_know,我知道了,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__input_ecard_number,请输入网易一卡通卡号,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__input_ecard_password,请输入网易一卡通密码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__input_mcard_number,请输入充值卡卡号,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__input_mcard_password,请输入充值卡密码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__input_password_to_verify_urs,请输入邮箱密码验证身份,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__input_phone_sms,请填写手机短信验证码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__input_phone_vvc,请填写语音验证码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__ji,及,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__just_now,刚刚,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__last_login_time,上次登录 %1$s,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__link_pay_plugin_tips_pay,支付中，请尽快完成支付。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__loading,加载中,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__loading_text,加载中...,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login,登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_account_changed_warning,%1$s帐号发生变化。\n确定继续以变更后的帐号登录？,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_again,重新登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_bind_channels_title,请选择绑定帐号,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_bind_disabled,当前帐号暂时无法绑定,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_center_3rd_nickname_default,扫码登录帐号,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_apple,通过Apple登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_battlenet,战网,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_dashen,网易大神,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_douyin,抖音,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_douyin_cloud,前往抖音获取手机号码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_douyin_cloud_tip,通过抖音授权获取手机号码登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_guest,快速游戏,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_mobile,手机号登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_more,更多方式,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_mowang,默往,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_neteaseoauth,网易帐号,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_others,使用其他帐号登录>,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_qrcode,扫码登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_sg,闲聊,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_urs,网易邮箱,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_weibo,新浪微博,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_weixin,微信,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_channel_yixin,易信,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_click_to_login_mobile,点击登录手机帐号,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_confirm_login,确认登录,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__login_do_set,立刻设置,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_echo_format,即将登录%1$s,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_dashen_not_installed,尚未安装网易大神应用，登录失败。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_format_template,%1$s格式错误！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_google_auth_cancel,已取消登录Google帐号,Cancel,Button,resources.arsc,Extracted from APK resources
netease_mpay__login_err_google_services,Google Play服务无法使用，请先安装或者升级Google Play服务。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_login_channel_not_available,维护中，请选择其他登录方式。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_mowang_not_installed,尚未安装默往应用，登录失败。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_no_facebook_user,facebook帐号登录失败,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_no_input_account,请输入帐号！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_no_input_external_account,请输入第三方帐号信息！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_no_support_bind,当前帐号无需绑定！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_not_guest_to_bind,登录失效，请登录快速游戏帐号绑定！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_password_illeagal_character,密码包含无效字符，请重新输入！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_password_size,密码长度应控制在6–16个字符之内,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_qq_not_installed,尚未安装QQ客户端，登录失败。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_sg_not_installed,尚未安装闲聊客户端，登录失败。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_weixin_not_installed,尚未安装微信应用，登录失败。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_err_yixin_not_installed,尚未安装易信客户端，登录失败。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_failed,登录失败,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_get_captcha,获取验证码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_guest_account_has_been_deleted_tips,原快速游戏帐号已注销，下次登录将创建新帐号。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_guest_bind_tips_default,建议尽快绑定帐号，以防数据丢失。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_guest_login_confirm,需要读写文件权限，以便储存及恢复快速游戏帐号数据。,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__login_has_send,已发送,,Account / Payment SDK,resources.arsc,Extracted from APK resources
